Player,Nationality,Height,born,Age
Timothy Castagne,Belgium,185,12/5/1995,27
Joe Rothwell,England,185,1/11/1995,28
Kelechi Iheanacho,Nigeria,185,10/3/1996,26
Matty Cash,Poland,185,8/7/1997,25
Marcos Senesi,Argentina,185,5/10/1997,26
Antoine Semenyo,Ghana,185,1/7/2000,23
Aaron Hickey,Scotland,185,6/10/2002,21
Thomas Partey,Ghana,185,6/13/1993,30
Jhon Durán,Colombia,185,12/13/2003,19
Declan Rice,England,185,1/14/1999,24
Diego Carlos,Brazil,185,3/15/1993,30
Will Hughes,England,185,4/17/1995,28
Steve Cook,England,185,4/19/1991,32
James Tarkowski,England,185,11/19/1992,30
Tom Cairney,Scotland,185,1/20/1991,32
Stefan Bajcetic,Spain,185,10/22/2004,18
Casemiro,Brazil,185,2/23/1992,31
Çaglar Söyüncü,Turkish,185,5/23/1996,27
Conor Coady,England,185,2/25/1993,30
Danny Welbeck,England,185,11/26/1990,32
Jack Stephens,England,185,1/27/1994,29
Cristian Romero,Argentina,185,4/27/1998,25
Curtis Jones,England,185,1/30/2001,22
Marcus Rashford,England,185,10/31/1997,25
Son Heung-Min,South Korea,184,7/8/1992,31
Mario Lemina,Gabon,184,9/1/1993,29
Richarlison,Brazil,184,5/10/1997,26
Vitaly Janelt,Germany,184,5/10/1998,25
Michael Olise,France,184,12/12/2001,21
Pape Sarr,Senegal,184,9/14/2002,20
Joël Veltman,Netherlands,184,1/15/1992,31
Ben Godfrey,England,184,1/15/1998,25
Hamed Traorè,Cote D’Ivoire,184,2/16/2000,23
Donny van de Beek,Netherlands,184,4/18/1997,26
Junior Firpo,Spain,184,8/22/1996,26
Josh Dasilva,England,184,10/23/1998,24
Boubacar Kamara,France,184,11/23/1999,23
Mads Roerslev,Denmark,184,6/24/1999,24
Marc Roca,Spain,184,11/26/1996,26
Jonjo Shelvey,England,184,2/27/1992,31
Matheus Cunha,Brazil,184,5/27/1999,24
Matheus Nunes,Portugal,184,8/27/1998,24
Abdoulaye Doucouré,Mali,183,1/1/1993,30
Alex Iwobi,Nigeria,183,5/3/1996,27
Antonee Robinson,United States,183,8/8/1997,25
Taiwo Awoniyi,Nigeria,183,8/12/1997,25
Frank Onyeka,Nigeria,183,1/1/1998,25
Patson Daka,Zambia,183,10/9/1998,24
